;'Proc. Orig';'Placa';'Chassi';'Marca/Modelo';'Classificação';'Ano';'Despesas (GAD)';'Recolhimento com multa (elimina isenção)';'Origem';'Ano de Entrada';'Data Entrada';'Data Saída';'Tempo em depósito (dias)';'Diárias limitadas a 183 dias';' Valor da taxa da diária ';' Valor total diárias ';' Valor da Taxa de remoção ';' Valor total da GAD ';' Valor CRD (somente Diárias) ';' Valor Devido da GAD (Detran) ';'Tempo Depósito (anos)';'Valor FIPE';'Peso (Kg)';'Valor Kg X 40% (devido ao DETRAN)';' Valor Casco p/ Veículo ';'Classificação';'Valor total da GAD +  Valor Casco p/Veículo';' Valor Total Devido pelo CRD  '
26;2007140521;;'SEMNUMERACAO';'honda/biz';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;2/12/2007;4/9/2019;4294;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
27;2008015560;'IIZ0488';'5C08AKC136651';'GM/CHEVETTE HATCH';'veículos em geral';1980;'7-Liberação (A disposição da Polícia)';;'1-Base Estadual';;19/2/2008;4/9/2019;4215;0;' 29,04 ';' -   ';' -   ';' -   ';' -   ';' -   ';11;;800;0,124;' 99,20 ';'MI';' 99,20 ';' 99,20 '
28;2010035310;'DWZ3827';'9C2MC35008R033465';'HONDA/CBX 250 TWISTER';'Motocicletas';2007;'0-Sem isenção';;'2-Base Nacional (BIN)';;6/4/2010;4/9/2019;3438;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';9;5.751,00;80;;' 5.751,00 ';'FIPE';' 10.228,69 ';' 7.417,81 '
29;2010105491;'COJ3984';'9BG5TE11UGC141675';'GM/CHEVETTE SL';'veículos em geral';1986;'0-Sem isenção';;'1-Base Estadual';;14/8/2010;4/9/2019;3308;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';9;5.121,00;800;;' 5.121,00 ';'FIPE';' 10.718,58 ';' 7.203,15 '
30;2010114573;;'RASPADO';'yamaha';'Motocicletas';;'0-Sem isenção';;'5-Irregular - Incluído';;31/8/2010;4/9/2019;3291;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';'IRREG';;80;0,124;' 9,92 ';'MI';' 4.487,61 ';' 1.676,73 '
31;2011018781;'ICJ4244';'CG1253013109';'HONDA/TURUNA 125';'Motocicletas';1980;'0-Sem isenção';;'1-Base Estadual';;12/2/2011;4/9/2019;3126;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';8;1.719,10;80;;' 1.719,10 ';'FIPE';' 6.196,79 ';' 3.385,91 '
32;2011044462;;'CRD00133RSP140411';'honda';'Motocicletas';;'0-Sem isenção';;'5-Irregular - Incluído';;16/4/2011;4/9/2019;3063;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';'IRREG';;80;0,124;' 9,92 ';'MI';' 4.487,61 ';' 1.676,73 '
33;2011121022;'IJC2600';'9C2JC2500YR020905';'HONDA/CG 125 TITAN';'Motocicletas';1999;'0-Sem isenção';;'1-Base Estadual';;27/8/2011;4/9/2019;2930;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';8;2.431,00;80;;' 2.431,00 ';'FIPE';' 6.908,69 ';' 4.097,81 '
34;2011128471;;'CRD00133RSP120911';'hondacg125';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;12/9/2011;4/9/2019;2914;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
35;2011159561;;'CRD00133RSP10112011';'yamaha dt 180';'Motocicletas';;'0-Sem isenção';;'5-Irregular - Incluído';;10/11/2011;4/9/2019;2855;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';'IRREG';;80;0,124;' 9,92 ';'MI';' 4.487,61 ';' 1.676,73 '
